model_name,total_predictions,accuracy,brier_score,accuracy_p55,count_p55,accuracy_p60,count_p60,accuracy_p65,count_p65,calibration_error
brownian_bridge,23040,0.7684,0.1965,0.7775,22220,0.7820,21831,0.7852,21477,0.1654
black_scholes_digital,23040,0.7684,0.1965,0.7775,22220,0.7820,21831,0.7852,21477,0.1654
regime_switching,23040,0.7609,0.1578,0.7953,20026,0.8203,17883,0.8421,15909,0.0224
current_matrix,23040,0.7607,0.1578,0.7951,20025,0.8203,17882,0.8423,15908,0.0224
velocity_matrix,23040,0.7589,0.1601,0.7884,20412,0.8131,18203,0.8356,16053,0.0222
logistic_regression,23040,0.7571,0.1929,0.8434,14836,0.8991,9205,0.9286,5698,0.1328
ornstein_uhlenbeck,23040,0.3671,0.6023,0.3630,22390,0.3620,22271,0.3616,22114,0.5949
