model_name,total_predictions,accuracy,brier_score,accuracy_p55,count_p55,accuracy_p60,count_p60,accuracy_p65,count_p65,calibration_error
current_matrix,26220,0.9994,0.0006,0.9994,26220,0.9994,26220,0.9994,26220,0.0000
velocity_matrix,26220,0.9994,0.0006,0.9994,26220,0.9994,26220,0.9994,26220,0.0000
regime_switching,26220,0.9994,0.0006,0.9994,26220,0.9994,26220,0.9994,26220,0.0000
logistic_regression,26220,0.9994,0.0957,0.9994,26220,0.9994,26220,0.9994,18964,0.2995
ornstein_uhlenbeck,26220,0.4815,0.4527,0.5162,24382,0.5164,24301,0.5164,24198,0.4847
brownian_bridge,26220,0.4523,0.4471,0.4853,24062,0.4857,23664,0.4860,23206,0.5112
black_scholes_digital,26220,0.4523,0.4471,0.4853,24062,0.4857,23664,0.4860,23206,0.5112
