market_slug,outcome,total_snapshots,B5%_S5%_P0%,B5%_S5%_P5%,B5%_S5%_P10%,B5%_S5%_P20%,B5%_S5%_P50%,B5%_S5%_P75%,B5%_S5%_P100%,B5%_S10%_P0%,B5%_S10%_P5%,B5%_S10%_P10%,B5%_S10%_P20%,B5%_S10%_P50%,B5%_S10%_P75%,B5%_S10%_P100%,B7%_S5%_P0%,B7%_S5%_P5%,B7%_S5%_P10%,B7%_S5%_P20%,B7%_S5%_P50%,B7%_S5%_P75%,B7%_S5%_P100%,B7%_S10%_P0%,B7%_S10%_P5%,B7%_S10%_P10%,B7%_S10%_P20%,B7%_S10%_P50%,B7%_S10%_P75%,B7%_S10%_P100%,B10%_S5%_P0%,B10%_S5%_P5%,B10%_S5%_P10%,B10%_S5%_P20%,B10%_S5%_P50%,B10%_S5%_P75%,B10%_S5%_P100%,B10%_S10%_P0%,B10%_S10%_P5%,B10%_S10%_P10%,B10%_S10%_P20%,B10%_S10%_P50%,B10%_S10%_P75%,B10%_S10%_P100%,B5%_S5%_P150>75%,B5%_S10%_P150>75%,B7%_S5%_P150>75%,B7%_S10%_P150>75%,B10%_S5%_P150>75%,B10%_S10%_P150>75%,B5%_S5%_P100>50%,B5%_S10%_P100>50%,B7%_S5%_P100>50%,B7%_S10%_P100>50%,B10%_S5%_P100>50%,B10%_S10%_P100>50%,B5%_S5%_P100>20%,B5%_S10%_P100>20%,B7%_S5%_P100>20%,B7%_S10%_P100>20%,B10%_S5%_P100>20%,B10%_S10%_P100>20%,B5%_S5%_P75>20%,B5%_S10%_P75>20%,B7%_S5%_P75>20%,B7%_S10%_P75>20%,B10%_S5%_P75>20%,B10%_S10%_P75>20%,B5%_S5%_P50>10%,B5%_S10%_P50>10%,B7%_S5%_P50>10%,B7%_S10%_P50>10%,B10%_S5%_P50>10%,B10%_S10%_P50>10%,B5%_HoldToEnd,B7%_HoldToEnd,B10%_HoldToEnd
btc-updown-15m-1765177200,DOWN,4458,58.4% (2 trades),58.4% (2 trades),58.4% (2 trades),76.6% (1 trades),76.6% (1 trades),76.6% (1 trades),100.0% (1 trades),66.7% (2 trades),85.9% (3 trades),102.1% (1 trades),102.1% (1 trades),102.1% (1 trades),102.1% (1 trades),102.1% (1 trades),110.2% (6 trades),110.2% (6 trades),116.3% (6 trades),80.4% (1 trades),80.4% (1 trades),80.4% (1 trades),104.3% (1 trades),107.4% (6 trades),-65.3% (4 trades),106.5% (1 trades),106.5% (1 trades),106.5% (1 trades),106.5% (1 trades),106.5% (1 trades),64.8% (3 trades),64.8% (3 trades),70.9% (3 trades),101.2% (3 trades),88.6% (1 trades),88.6% (1 trades),113.6% (1 trades),77.3% (3 trades),77.3% (3 trades),81.8% (3 trades),115.9% (1 trades),115.9% (1 trades),115.9% (1 trades),115.9% (1 trades),76.6% (1 trades),102.1% (1 trades),80.4% (1 trades),106.5% (1 trades),88.6% (1 trades),115.9% (1 trades),76.6% (1 trades),102.1% (1 trades),80.4% (1 trades),106.5% (1 trades),88.6% (1 trades),115.9% (1 trades),76.6% (1 trades),102.1% (1 trades),80.4% (1 trades),106.5% (1 trades),88.6% (1 trades),115.9% (1 trades),76.6% (1 trades),102.1% (1 trades),80.4% (1 trades),106.5% (1 trades),88.6% (1 trades),115.9% (1 trades),76.6% (1 trades),102.1% (1 trades),80.4% (1 trades),106.5% (1 trades),52.0% (2 trades),72.0% (2 trades),112.8% (1 trades),117.4% (1 trades),127.3% (1 trades)
btc-updown-15m-1765178100,UP,4472,-64.0% (5 trades),-81.5% (3 trades),-71.8% (3 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-70.3% (5 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-78.7% (3 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-74.1% (3 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-73.1% (3 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-68.3% (3 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades)
btc-updown-15m-1765179000,DOWN,4473,233.6% (11 trades),234.6% (10 trades),227.2% (8 trades),300.2% (9 trades),-25.0% (2 trades),-25.0% (2 trades),147.2% (3 trades),113.2% (7 trades),73.9% (5 trades),73.9% (5 trades),124.3% (6 trades),137.2% (3 trades),137.2% (3 trades),147.2% (3 trades),231.7% (11 trades),232.6% (10 trades),237.8% (8 trades),243.6% (8 trades),-20.0% (2 trades),-20.0% (2 trades),154.3% (3 trades),121.1% (7 trades),91.9% (5 trades),91.9% (5 trades),91.9% (5 trades),144.3% (3 trades),144.3% (3 trades),154.3% (3 trades),138.6% (6 trades),173.9% (6 trades),207.2% (6 trades),207.2% (6 trades),-48.4% (2 trades),3.2% (2 trades),3.2% (2 trades),148.3% (6 trades),241.8% (5 trades),241.8% (5 trades),241.8% (5 trades),357.1% (3 trades),357.1% (3 trades),387.1% (3 trades),-25.0% (2 trades),137.2% (3 trades),-20.0% (2 trades),144.3% (3 trades),3.2% (2 trades),357.1% (3 trades),-25.0% (2 trades),137.2% (3 trades),-20.0% (2 trades),144.3% (3 trades),-48.4% (2 trades),357.1% (3 trades),224.0% (7 trades),87.2% (3 trades),214.3% (7 trades),94.3% (3 trades),189.8% (5 trades),295.7% (4 trades),224.0% (7 trades),87.2% (3 trades),214.3% (7 trades),94.3% (3 trades),189.8% (5 trades),295.7% (4 trades),224.0% (7 trades),87.2% (3 trades),214.3% (7 trades),94.3% (3 trades),193.0% (5 trades),295.7% (4 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades)
btc-updown-15m-1765179900,DOWN,5221,26.1% (7 trades),53.7% (7 trades),67.0% (7 trades),67.3% (6 trades),-41.7% (2 trades),-100.0% (1 trades),-100.0% (1 trades),65.6% (6 trades),65.6% (6 trades),65.6% (6 trades),29.7% (5 trades),-50.0% (2 trades),-100.0% (1 trades),-100.0% (1 trades),17.7% (5 trades),17.7% (5 trades),17.7% (5 trades),50.9% (5 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),48.7% (5 trades),48.7% (5 trades),48.7% (5 trades),48.7% (5 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-16.5% (3 trades),-16.5% (3 trades),-16.5% (3 trades),-2.2% (3 trades),-42.9% (2 trades),-100.0% (1 trades),-100.0% (1 trades),-9.3% (3 trades),-9.3% (3 trades),-9.3% (3 trades),-9.3% (3 trades),-42.9% (2 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-42.9% (2 trades),-42.9% (2 trades),10.1% (4 trades),-32.5% (3 trades),-100.0% (1 trades),-100.0% (1 trades),-2.2% (3 trades),-9.3% (3 trades),10.1% (4 trades),-32.5% (3 trades),-100.0% (1 trades),-100.0% (1 trades),-2.2% (3 trades),-9.3% (3 trades),59.1% (5 trades),44.1% (5 trades),-4.9% (4 trades),2.2% (4 trades),-16.5% (3 trades),-9.3% (3 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades)
btc-updown-15m-1765180800,UP,5558,-64.3% (6 trades),-72.6% (4 trades),-76.3% (3 trades),-79.3% (2 trades),-48.3% (2 trades),-20.7% (2 trades),6.9% (2 trades),-50.9% (6 trades),-66.0% (4 trades),-69.7% (3 trades),-75.9% (2 trades),-41.4% (2 trades),-20.7% (2 trades),120.7% (1 trades),88.4% (6 trades),-20.6% (5 trades),-23.2% (4 trades),-26.9% (3 trades),6.5% (3 trades),151.7% (2 trades),200.0% (2 trades),105.0% (6 trades),-10.3% (4 trades),-10.3% (4 trades),-20.6% (3 trades),12.7% (3 trades),151.7% (2 trades),113.3% (1 trades),53.1% (2 trades),-46.9% (2 trades),-46.9% (2 trades),-46.9% (2 trades),-46.9% (2 trades),75.0% (1 trades),100.0% (1 trades),61.0% (2 trades),-40.6% (2 trades),-40.6% (2 trades),-40.6% (2 trades),-40.6% (2 trades),75.0% (1 trades),100.0% (1 trades),-24.1% (2 trades),-24.1% (2 trades),-20.0% (2 trades),83.3% (1 trades),75.0% (1 trades),75.0% (1 trades),6.9% (2 trades),-24.1% (2 trades),53.1% (3 trades),-30.0% (2 trades),-46.9% (2 trades),-40.6% (2 trades),6.9% (2 trades),-62.1% (2 trades),53.1% (3 trades),-7.3% (3 trades),-46.9% (2 trades),-40.6% (2 trades),-20.7% (2 trades),-20.7% (2 trades),29.8% (3 trades),36.0% (3 trades),-46.9% (2 trades),-40.6% (2 trades),-48.3% (2 trades),-41.4% (2 trades),16.8% (4 trades),23.0% (4 trades),-46.9% (2 trades),-40.6% (2 trades),244.8% (1 trades),233.3% (1 trades),212.5% (1 trades)
btc-updown-15m-1765181700,UP,6287,-14.1% (6 trades),-14.1% (6 trades),-14.1% (6 trades),-11.2% (5 trades),59.9% (4 trades),-100.0% (1 trades),-100.0% (1 trades),15.5% (5 trades),15.5% (5 trades),15.5% (5 trades),23.4% (5 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-26.6% (5 trades),-26.6% (5 trades),-26.6% (5 trades),-32.6% (4 trades),59.9% (4 trades),-100.0% (1 trades),-100.0% (1 trades),-2.4% (4 trades),-2.4% (4 trades),-2.4% (4 trades),1.9% (4 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-77.8% (2 trades),-77.8% (2 trades),-77.8% (2 trades),-77.8% (2 trades),-48.1% (2 trades),-100.0% (1 trades),-100.0% (1 trades),-66.7% (2 trades),-66.7% (2 trades),-66.7% (2 trades),-66.7% (2 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-56.9% (3 trades),-37.5% (3 trades),-55.1% (3 trades),-35.4% (3 trades),-77.8% (2 trades),-77.8% (2 trades),-56.9% (3 trades),-37.5% (3 trades),-55.1% (3 trades),-35.4% (3 trades),-77.8% (2 trades),-77.8% (2 trades),31.8% (4 trades),-48.6% (3 trades),31.8% (4 trades),-46.5% (3 trades),-48.1% (2 trades),-88.9% (2 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades)
btc-updown-15m-1765182600,UP,7698,53.0% (4 trades),53.0% (4 trades),47.8% (2 trades),53.6% (2 trades),99.1% (2 trades),85.4% (1 trades),106.2% (1 trades),89.0% (3 trades),89.0% (3 trades),89.0% (3 trades),121.1% (3 trades),72.9% (1 trades),108.3% (1 trades),108.3% (1 trades),55.6% (6 trades),55.5% (4 trades),45.0% (3 trades),61.5% (2 trades),106.6% (2 trades),76.6% (1 trades),110.6% (1 trades),58.6% (2 trades),58.6% (2 trades),58.6% (2 trades),90.8% (2 trades),76.6% (1 trades),76.6% (1 trades),112.8% (1 trades),45.0% (6 trades),53.0% (3 trades),53.0% (3 trades),60.0% (2 trades),63.0% (1 trades),76.1% (1 trades),115.2% (1 trades),45.7% (1 trades),45.7% (1 trades),45.7% (1 trades),45.7% (1 trades),80.4% (1 trades),80.4% (1 trades),117.4% (1 trades),85.4% (1 trades),108.3% (1 trades),76.6% (1 trades),76.6% (1 trades),76.1% (1 trades),80.4% (1 trades),99.1% (2 trades),72.9% (1 trades),106.6% (2 trades),76.6% (1 trades),63.0% (1 trades),80.4% (1 trades),53.6% (2 trades),121.1% (3 trades),61.5% (2 trades),90.8% (2 trades),60.0% (2 trades),45.7% (1 trades),53.6% (2 trades),121.1% (3 trades),61.5% (2 trades),90.8% (2 trades),60.0% (2 trades),45.7% (1 trades),47.8% (2 trades),89.0% (3 trades),45.0% (3 trades),58.6% (2 trades),53.0% (3 trades),45.7% (1 trades),108.3% (1 trades),112.8% (1 trades),117.4% (1 trades)
btc-updown-15m-1765183500,UP,6404,101.8% (4 trades),111.6% (4 trades),114.0% (4 trades),123.7% (3 trades),138.2% (2 trades),141.5% (1 trades),141.5% (1 trades),83.3% (3 trades),116.7% (2 trades),116.7% (2 trades),141.5% (1 trades),141.5% (1 trades),141.5% (1 trades),141.5% (1 trades),170.4% (7 trades),179.5% (7 trades),184.0% (7 trades),229.7% (4 trades),135.4% (2 trades),327.6% (3 trades),312.2% (3 trades),95.1% (3 trades),113.8% (2 trades),113.8% (2 trades),122.6% (2 trades),191.2% (1 trades),191.2% (1 trades),191.2% (1 trades),174.9% (7 trades),184.4% (7 trades),189.2% (7 trades),230.8% (4 trades),135.4% (2 trades),326.5% (3 trades),322.6% (3 trades),95.1% (3 trades),113.8% (2 trades),113.8% (2 trades),122.6% (2 trades),191.2% (1 trades),191.2% (1 trades),191.2% (1 trades),143.9% (1 trades),143.9% (1 trades),191.2% (1 trades),191.2% (1 trades),191.2% (1 trades),191.2% (1 trades),141.5% (1 trades),141.5% (1 trades),309.4% (3 trades),191.2% (1 trades),317.0% (3 trades),191.2% (1 trades),141.5% (1 trades),141.5% (1 trades),273.0% (3 trades),126.4% (2 trades),274.1% (3 trades),126.4% (2 trades),141.5% (1 trades),141.5% (1 trades),273.0% (3 trades),124.5% (2 trades),274.1% (3 trades),124.5% (2 trades),138.2% (2 trades),100.4% (2 trades),135.4% (2 trades),112.2% (3 trades),135.4% (2 trades),112.2% (3 trades),143.9% (1 trades),194.1% (1 trades),194.1% (1 trades)
btc-updown-15m-1765184400,UP,6365,480.5% (7 trades),480.5% (7 trades),480.5% (7 trades),442.7% (5 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),517.7% (6 trades),497.6% (5 trades),501.0% (5 trades),511.4% (5 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),463.2% (6 trades),463.2% (6 trades),463.2% (6 trades),445.6% (5 trades),403.8% (5 trades),146.0% (2 trades),169.5% (2 trades),514.2% (5 trades),514.2% (5 trades),514.2% (5 trades),514.2% (5 trades),410.6% (5 trades),151.8% (2 trades),175.4% (2 trades),400.0% (3 trades),400.0% (3 trades),400.0% (3 trades),400.0% (3 trades),300.0% (3 trades),300.0% (3 trades),300.0% (3 trades),450.0% (3 trades),450.0% (3 trades),450.0% (3 trades),450.0% (3 trades),300.0% (3 trades),300.0% (3 trades),300.0% (3 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),300.0% (3 trades),300.0% (3 trades),-100.0% (1 trades),-100.0% (1 trades),450.8% (5 trades),463.5% (5 trades),300.0% (3 trades),300.0% (3 trades),-100.0% (1 trades),-100.0% (1 trades),540.7% (5 trades),613.5% (5 trades),400.0% (3 trades),450.0% (3 trades),-100.0% (1 trades),-100.0% (1 trades),517.1% (5 trades),590.0% (5 trades),400.0% (3 trades),450.0% (3 trades),-100.0% (1 trades),-100.0% (1 trades),493.6% (5 trades),560.6% (5 trades),400.0% (3 trades),450.0% (3 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades)
btc-updown-15m-1765185300,DOWN,4476,84.8% (2 trades),84.8% (2 trades),84.8% (2 trades),84.8% (2 trades),103.9% (2 trades),127.7% (2 trades),178.6% (2 trades),84.8% (2 trades),84.8% (2 trades),84.8% (2 trades),84.8% (2 trades),103.9% (2 trades),127.7% (2 trades),178.6% (2 trades),89.6% (2 trades),89.6% (2 trades),89.6% (2 trades),89.6% (2 trades),108.6% (2 trades),132.4% (2 trades),178.6% (2 trades),89.6% (2 trades),89.6% (2 trades),89.6% (2 trades),89.6% (2 trades),108.6% (2 trades),132.4% (2 trades),178.6% (2 trades),110.7% (3 trades),110.7% (3 trades),100.0% (2 trades),100.0% (2 trades),119.0% (2 trades),142.9% (2 trades),172.4% (2 trades),100.0% (2 trades),100.0% (2 trades),100.0% (2 trades),100.0% (2 trades),119.0% (2 trades),142.9% (2 trades),172.4% (2 trades),132.4% (2 trades),132.4% (2 trades),132.4% (2 trades),132.4% (2 trades),142.9% (2 trades),142.9% (2 trades),108.6% (2 trades),108.6% (2 trades),108.6% (2 trades),108.6% (2 trades),119.0% (2 trades),119.0% (2 trades),70.3% (2 trades),70.3% (2 trades),89.6% (2 trades),89.6% (2 trades),100.0% (2 trades),100.0% (2 trades),127.7% (2 trades),127.7% (2 trades),132.4% (2 trades),132.4% (2 trades),142.9% (2 trades),142.9% (2 trades),103.9% (2 trades),103.9% (2 trades),108.6% (2 trades),108.6% (2 trades),119.0% (2 trades),119.0% (2 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades)
btc-updown-15m-1765186200,UP,6387,71.8% (5 trades),56.5% (4 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),30.4% (3 trades),35.0% (3 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),54.4% (3 trades),54.4% (3 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),29.1% (3 trades),23.4% (2 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),30.2% (1 trades),30.2% (1 trades),30.2% (1 trades),30.2% (1 trades),50.8% (1 trades),58.7% (1 trades),58.7% (1 trades),23.8% (1 trades),23.8% (1 trades),23.8% (1 trades),23.8% (1 trades),58.7% (1 trades),58.7% (1 trades),58.7% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),58.7% (1 trades),58.7% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),50.8% (1 trades),58.7% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),30.2% (1 trades),23.8% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),30.2% (1 trades),23.8% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),30.2% (1 trades),23.8% (1 trades),-100.0% (1 trades),-100.0% (1 trades),58.7% (1 trades)
btc-updown-15m-1765187100,DOWN,4478,-77.4% (3 trades),-73.6% (3 trades),-65.9% (3 trades),-56.6% (3 trades),101.6% (2 trades),-100.0% (1 trades),-100.0% (1 trades),-53.4% (3 trades),-53.4% (3 trades),-53.4% (3 trades),-45.7% (3 trades),106.2% (2 trades),-100.0% (1 trades),-100.0% (1 trades),-77.4% (3 trades),-73.6% (3 trades),-65.9% (3 trades),-56.6% (3 trades),101.6% (2 trades),-100.0% (1 trades),-100.0% (1 trades),-53.4% (3 trades),-53.4% (3 trades),-53.4% (3 trades),-45.7% (3 trades),106.2% (2 trades),-100.0% (1 trades),-100.0% (1 trades),-81.2% (2 trades),-81.2% (2 trades),-81.2% (2 trades),-79.7% (2 trades),51.6% (1 trades),56.2% (1 trades),56.2% (1 trades),-68.8% (2 trades),-68.8% (2 trades),-68.8% (2 trades),-68.8% (2 trades),56.2% (1 trades),56.2% (1 trades),56.2% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),56.2% (1 trades),56.2% (1 trades),101.6% (2 trades),106.2% (2 trades),101.6% (2 trades),106.2% (2 trades),51.6% (1 trades),56.2% (1 trades),-56.6% (3 trades),-45.7% (3 trades),-56.6% (3 trades),-45.7% (3 trades),-79.7% (2 trades),-68.8% (2 trades),-56.6% (3 trades),-45.7% (3 trades),-56.6% (3 trades),-45.7% (3 trades),-79.7% (2 trades),-68.8% (2 trades),-65.9% (3 trades),-53.4% (3 trades),-65.9% (3 trades),-53.4% (3 trades),-81.2% (2 trades),-68.8% (2 trades),-100.0% (1 trades),-100.0% (1 trades),56.2% (1 trades)
btc-updown-15m-1765188000,UP,4470,210.9% (12 trades),220.7% (12 trades),230.7% (12 trades),-20.4% (4 trades),9.9% (3 trades),-100.0% (1 trades),-100.0% (1 trades),189.3% (7 trades),189.3% (7 trades),-31.9% (4 trades),-20.4% (4 trades),18.6% (3 trades),-100.0% (1 trades),-100.0% (1 trades),162.7% (9 trades),172.5% (9 trades),179.0% (9 trades),-20.4% (4 trades),172.1% (3 trades),-100.0% (1 trades),-100.0% (1 trades),180.5% (6 trades),180.5% (6 trades),-31.9% (4 trades),-20.4% (4 trades),240.8% (3 trades),-100.0% (1 trades),-100.0% (1 trades),131.0% (6 trades),131.0% (6 trades),131.0% (6 trades),-27.7% (4 trades),177.3% (3 trades),173.3% (2 trades),-100.0% (1 trades),151.3% (5 trades),-59.6% (3 trades),-59.6% (3 trades),-51.6% (3 trades),250.7% (3 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),173.3% (2 trades),-100.0% (1 trades),19.4% (3 trades),19.6% (3 trades),179.6% (3 trades),241.8% (3 trades),183.3% (3 trades),245.5% (3 trades),-13.9% (3 trades),-6.5% (3 trades),-8.7% (3 trades),-6.5% (3 trades),-5.0% (3 trades),-2.8% (3 trades),-13.9% (3 trades),-6.5% (3 trades),-8.7% (3 trades),-6.5% (3 trades),-5.0% (3 trades),-2.8% (3 trades),222.7% (9 trades),-27.6% (3 trades),183.7% (7 trades),-27.6% (3 trades),139.0% (5 trades),-19.6% (3 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades)
btc-updown-15m-1765188900,UP,4470,83.9% (8 trades),87.5% (8 trades),85.0% (5 trades),104.8% (4 trades),80.8% (1 trades),80.8% (1 trades),-100.0% (1 trades),48.0% (6 trades),54.2% (5 trades),37.7% (3 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),63.2% (5 trades),63.2% (5 trades),44.4% (3 trades),54.1% (1 trades),54.1% (1 trades),-100.0% (1 trades),-100.0% (1 trades),40.8% (5 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),39.3% (3 trades),39.3% (3 trades),41.2% (3 trades),51.6% (1 trades),51.6% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),80.8% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),80.8% (1 trades),-100.0% (1 trades),54.1% (1 trades),-100.0% (1 trades),51.6% (1 trades),-100.0% (1 trades),91.2% (3 trades),-100.0% (1 trades),54.1% (1 trades),-100.0% (1 trades),51.6% (1 trades),-100.0% (1 trades),91.2% (3 trades),-100.0% (1 trades),54.1% (1 trades),-100.0% (1 trades),51.6% (1 trades),-100.0% (1 trades),70.2% (5 trades),37.7% (3 trades),44.4% (3 trades),-100.0% (1 trades),41.2% (3 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades)
btc-updown-15m-1765189800,UP,5280,223.0% (9 trades),89.2% (7 trades),22.3% (4 trades),29.2% (4 trades),64.2% (4 trades),126.7% (3 trades),200.0% (2 trades),272.5% (9 trades),172.5% (9 trades),172.5% (9 trades),172.5% (9 trades),86.9% (4 trades),140.5% (3 trades),200.0% (2 trades),218.3% (9 trades),260.3% (9 trades),209.1% (7 trades),33.5% (4 trades),66.1% (4 trades),129.6% (4 trades),200.0% (2 trades),275.1% (9 trades),308.4% (9 trades),308.4% (9 trades),197.3% (9 trades),78.4% (4 trades),150.0% (3 trades),200.0% (2 trades),217.1% (8 trades),250.4% (8 trades),250.4% (8 trades),144.9% (8 trades),64.4% (4 trades),128.8% (4 trades),200.0% (2 trades),257.5% (8 trades),290.8% (8 trades),290.8% (8 trades),179.7% (8 trades),84.1% (4 trades),252.8% (3 trades),200.0% (2 trades),104.2% (2 trades),120.8% (2 trades),104.2% (2 trades),120.8% (2 trades),104.2% (2 trades),120.8% (2 trades),58.0% (3 trades),64.0% (3 trades),58.0% (3 trades),64.0% (3 trades),58.0% (3 trades),64.0% (3 trades),185.0% (8 trades),170.0% (7 trades),172.1% (7 trades),155.9% (6 trades),149.9% (6 trades),133.7% (5 trades),126.7% (3 trades),267.5% (8 trades),225.7% (8 trades),297.5% (8 trades),202.7% (7 trades),186.5% (6 trades),64.2% (4 trades),213.9% (9 trades),248.8% (7 trades),337.0% (9 trades),289.6% (8 trades),320.5% (8 trades),316.7% (1 trades),316.7% (1 trades),316.7% (1 trades)
btc-updown-15m-1765190700,DOWN,6360,70.6% (8 trades),90.9% (7 trades),101.8% (6 trades),10.0% (6 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),123.3% (9 trades),139.8% (8 trades),159.2% (6 trades),51.2% (6 trades),-100.0% (1 trades),-100.0% (1 trades),-100.0% (1 trades),79.9% (7 trades),93.3% (6 trades),108.9% (6 trades),138.8% (6 trades),-34.9% (2 trades),-23.3% (2 trades),7.0% (2 trades),132.4% (8 trades),147.2% (7 trades),168.2% (6 trades),179.9% (6 trades),46.0% (3 trades),-7.0% (2 trades),11.6% (2 trades),81.9% (6 trades),81.7% (5 trades),95.0% (5 trades),112.2% (5 trades),110.0% (2 trades),66.7% (1 trades),66.7% (1 trades),130.3% (6 trades),137.0% (6 trades),144.4% (5 trades),144.4% (5 trades),115.3% (2 trades),66.7% (1 trades),66.7% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-23.3% (2 trades),-7.0% (2 trades),66.7% (1 trades),66.7% (1 trades),-100.0% (1 trades),-100.0% (1 trades),-34.9% (2 trades),46.0% (3 trades),110.0% (2 trades),115.3% (2 trades),-100.0% (1 trades),-100.0% (1 trades),143.6% (6 trades),177.0% (6 trades),112.2% (5 trades),144.4% (5 trades),-100.0% (1 trades),-100.0% (1 trades),143.6% (6 trades),177.0% (6 trades),112.2% (5 trades),144.4% (5 trades),-100.0% (1 trades),-100.0% (1 trades),121.4% (6 trades),177.0% (6 trades),95.0% (5 trades),144.4% (5 trades),-100.0% (1 trades),132.6% (1 trades),66.7% (1 trades)
